,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
534,10,480,l1,160,False,25,4,0.5299760191846521
562,20,960,l1,320,False,5,4,0.5299760191846521
249,20,60,l2,20,True,1,1,0.52757793764988
251,20,60,l2,20,True,5,1,0.52757793764988
217,10,30,l2,10,True,1,1,0.52757793764988
43,15,45,l2,15,True,5,1,0.5251798561151071
22,10,30,l1,10,False,25,1,0.5251798561151071
560,20,960,l1,320,False,1,4,0.5251798561151071
536,10,480,l1,160,True,1,4,0.5251798561151071
227,15,45,l2,15,False,5,1,0.5251798561151071
263,5,60,l2,20,False,25,2,0.5251798561151071
553,15,720,l2,240,True,1,4,0.5251798561151071
317,20,240,l2,80,True,15,2,0.522781774580335
243,20,60,l2,20,False,5,1,0.522781774580335
550,15,720,l1,240,False,25,4,0.522781774580335
45,15,45,l2,15,True,15,1,0.522781774580335
61,20,60,l2,20,True,15,1,0.522781774580335
554,15,720,l1,240,True,5,4,0.522781774580335
287,10,120,l2,40,True,25,2,0.517985611510791
564,20,960,l1,320,False,15,4,0.517985611510791
29,10,30,l2,10,True,15,1,0.517985611510791
548,15,720,l1,240,False,15,4,0.5155875299760191
570,20,960,l1,320,True,5,4,0.5155875299760191
39,15,45,l2,15,False,25,1,0.5155875299760191
246,20,60,l1,20,False,25,1,0.5155875299760191
245,20,60,l2,20,False,15,1,0.513189448441247
55,20,60,l2,20,False,25,1,0.513189448441247
255,20,60,l2,20,True,25,1,0.5107913669064741
574,20,960,l1,320,True,25,4,0.5107913669064741
512,5,240,l1,80,False,1,4,0.508393285371702
572,20,960,l1,320,True,15,4,0.508393285371702
268,5,60,l1,20,True,15,2,0.508393285371702
28,10,30,l1,10,True,15,1,0.508393285371702
558,15,720,l1,240,True,25,4,0.5059952038369301
532,10,480,l1,160,False,15,4,0.5059952038369301
528,10,480,l1,160,False,1,4,0.5059952038369301
23,10,30,l2,10,False,25,1,0.5059952038369301
269,5,60,l2,20,True,15,2,0.5059952038369301
538,10,480,l1,160,True,5,4,0.5059952038369301
540,10,480,l1,160,True,15,4,0.503597122302158
556,15,720,l1,240,True,15,4,0.503597122302158
279,10,120,l2,40,False,25,2,0.503597122302158
319,20,240,l2,80,True,25,2,0.5011990407673861
247,20,60,l2,20,False,25,1,0.5011990407673861
233,15,45,l2,15,True,1,1,0.5011990407673861
230,15,45,l1,15,False,25,1,0.49880095923261303
228,15,45,l1,15,False,15,1,0.49880095923261303
63,20,60,l2,20,True,25,1,0.496402877697841
229,15,45,l2,15,False,15,1,0.496402877697841
213,10,30,l2,10,False,15,1,0.496402877697841
30,10,30,l1,10,True,25,1,0.496402877697841
566,20,960,l1,320,False,25,4,0.496402877697841
46,15,45,l1,15,True,25,1,0.496402877697841
506,20,240,l1,80,True,5,2,0.494004796163069
236,15,45,l1,15,True,15,1,0.494004796163069
530,10,480,l1,160,False,5,4,0.491606714628297
208,10,30,l1,10,False,1,1,0.491606714628297
210,10,30,l1,10,False,5,1,0.491606714628297
31,10,30,l2,10,True,25,1,0.491606714628297
237,15,45,l2,15,True,15,1,0.486810551558753
212,10,30,l1,10,False,15,1,0.48441247002398
542,10,480,l1,160,True,25,4,0.48441247002398
537,10,480,l2,160,True,1,4,0.482014388489208
47,15,45,l2,15,True,25,1,0.482014388489208
545,15,720,l2,240,False,1,4,0.479616306954436
271,5,60,l2,20,True,25,2,0.479616306954436
238,15,45,l1,15,True,25,1,0.479616306954436
488,15,180,l1,60,True,1,2,0.479616306954436
561,20,960,l2,320,False,1,4,0.477218225419664
475,10,120,l2,40,True,5,2,0.474820143884892
218,10,30,l1,10,True,5,1,0.472422062350119
492,15,180,l1,60,True,15,2,0.472422062350119
514,5,240,l1,80,False,5,4,0.472422062350119
569,20,960,l2,320,True,1,4,0.470023980815347
235,15,45,l2,15,True,5,1,0.470023980815347
270,5,60,l1,20,True,25,2,0.470023980815347
539,10,480,l2,160,True,5,4,0.470023980815347
222,10,30,l1,10,True,25,1,0.470023980815347
480,15,180,l1,60,False,1,2,0.467625899280575
535,10,480,l2,160,False,25,4,0.465227817745803
513,5,240,l2,80,False,1,4,0.465227817745803
520,5,240,l1,80,True,1,4,0.465227817745803
13,5,15,l2,5,True,15,1,0.462829736211031
220,10,30,l1,10,True,15,1,0.462829736211031
529,10,480,l2,160,False,1,4,0.462829736211031
498,20,240,l1,80,False,5,2,0.460431654676259
484,15,180,l1,60,False,15,2,0.460431654676259
490,15,180,l1,60,True,5,2,0.460431654676259
549,15,720,l2,240,False,15,4,0.460431654676259
209,10,30,l2,10,False,1,1,0.460431654676259
555,15,720,l2,240,True,5,4,0.458033573141486
239,15,45,l2,15,True,25,1,0.458033573141486
516,5,240,l1,80,False,15,4,0.458033573141486
