,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
323,10,1920,l2,640,False,45,8,0.420164013506994
239,10,480,l2,160,True,45,4,0.41968162083936306
322,10,1920,l1,640,False,45,8,0.41919922817173105
80,20,60,l1,20,False,25,1,0.41919922817173105
78,20,60,l1,20,False,15,1,0.41871683550410005
199,5,240,l2,80,False,15,4,0.41726965750120604
85,20,60,l2,20,True,1,1,0.41726965750120604
123,10,120,l2,40,False,5,2,0.41630487216594303
294,5,960,l1,320,False,15,8,0.415822479498311
383,20,3840,l2,1280,True,45,8,0.415822479498311
140,10,120,l1,40,True,25,2,0.41534008683068
200,5,240,l1,80,False,25,4,0.41292812349252206
309,5,960,l2,320,True,25,8,0.41244573082489105
227,10,480,l2,160,False,45,4,0.41196333815726
139,10,120,l2,40,True,15,2,0.41196333815726
214,5,240,l1,80,True,45,4,0.41196333815726
308,5,960,l1,320,True,25,8,0.41148094548962805
189,20,240,l2,80,True,25,2,0.41148094548962805
88,20,60,l1,20,True,11,1,0.41099855282199704
60,15,45,l1,15,True,1,1,0.41003376748673404
109,5,60,l2,20,True,1,2,0.40955137481910203
48,15,45,l1,15,False,1,1,0.40906898215147103
165,15,180,l2,60,True,25,2,0.408586589483839
86,20,60,l1,20,True,5,1,0.406657018813314
153,15,180,l2,60,False,25,2,0.40472744814278805
92,20,60,l1,20,True,25,1,0.40472744814278805
130,10,120,l1,40,False,45,2,0.40279787747226203
177,20,240,l2,80,False,25,2,0.40279787747226203
125,10,120,l2,40,False,11,2,0.40231548480463103
297,5,960,l2,320,False,25,8,0.401350699469368
90,20,60,l1,20,True,15,1,0.39893873613121
75,20,60,l2,20,False,5,1,0.39893873613121
201,5,240,l2,80,False,25,4,0.39700916546068504
111,5,60,l2,20,True,5,2,0.39652677279305304
296,5,960,l1,320,False,25,8,0.39652677279305304
110,5,60,l1,20,True,5,2,0.39604438012542204
141,10,120,l2,40,True,25,2,0.39556198745779003
127,10,120,l2,40,False,15,2,0.39556198745779003
112,5,60,l1,20,True,11,2,0.394597202122527
82,20,60,l1,20,False,45,1,0.394114809454896
202,5,240,l1,80,False,45,4,0.393632416787264
215,5,240,l2,80,True,45,4,0.393632416787264
50,15,45,l1,15,False,5,1,0.393632416787264
79,20,60,l2,20,False,15,1,0.392667631452001
191,20,240,l2,80,True,45,2,0.39170284611673906
64,15,45,l1,15,True,11,1,0.39122045344910705
52,15,45,l1,15,False,11,1,0.39025566811384405
54,15,45,l1,15,False,15,1,0.39025566811384405
77,20,60,l2,20,False,11,1,0.387361312108055
89,20,60,l2,20,True,11,1,0.384949348769898
49,15,45,l2,15,False,1,1,0.38398456343463505
311,5,960,l2,320,True,45,8,0.38398456343463505
68,15,45,l1,15,True,25,1,0.38253738543174104
299,5,960,l2,320,False,45,8,0.38205499276411
155,15,180,l2,60,False,45,2,0.38205499276411
167,15,180,l2,60,True,45,2,0.38205499276411
61,15,45,l2,15,True,1,1,0.381090207428847
62,15,45,l1,15,True,5,1,0.381090207428847
142,10,120,l1,40,True,45,2,0.381090207428847
66,15,45,l1,15,True,15,1,0.380125422093584
129,10,120,l2,40,False,25,2,0.380125422093584
100,5,60,l1,20,False,11,2,0.379643029425952
94,20,60,l1,20,True,45,1,0.378678244090689
114,5,60,l1,20,True,15,2,0.378678244090689
310,5,960,l1,320,True,45,8,0.378195851423058
96,5,60,l1,20,False,1,2,0.37771345875542606
113,5,60,l2,20,True,11,2,0.37771345875542606
87,20,60,l2,20,True,5,1,0.37723106608779505
40,10,30,l1,10,True,11,1,0.37723106608779505
81,20,60,l2,20,False,25,1,0.37674867342016405
98,5,60,l1,20,False,5,2,0.37626628075253205
56,15,45,l1,15,False,25,1,0.37578388808490104
203,5,240,l2,80,False,45,4,0.373854317414375
91,20,60,l2,20,True,15,1,0.373371924746743
179,20,240,l2,80,False,45,2,0.37240713941148
143,10,120,l2,40,True,45,2,0.370959961408586
97,5,60,l2,20,False,1,2,0.36999517607332305
93,20,60,l2,20,True,25,1,0.36999517607332305
24,10,30,l1,10,False,1,1,0.36951278340569205
116,5,60,l1,20,True,25,2,0.36903039073806004
42,10,30,l1,10,True,15,1,0.36903039073806004
53,15,45,l2,15,False,11,1,0.36854799807042904
26,10,30,l1,10,False,5,1,0.36854799807042904
55,15,45,l2,15,False,15,1,0.36806560540279704
298,5,960,l1,320,False,45,8,0.36806560540279704
36,10,30,l1,10,True,1,1,0.366618427399903
65,15,45,l2,15,True,11,1,0.366136034732272
115,5,60,l2,20,True,15,2,0.36565364206464
67,15,45,l2,15,True,15,1,0.365171249397009
51,15,45,l2,15,False,5,1,0.364688856729377
38,10,30,l1,10,True,5,1,0.36324167872648305
58,15,45,l1,15,False,45,1,0.36179450072358904
70,15,45,l1,15,True,45,1,0.36179450072358904
131,10,120,l2,40,False,45,2,0.359864930053063
28,10,30,l1,10,False,11,1,0.3589001447178
102,5,60,l1,20,False,15,2,0.357452966714905
41,10,30,l2,10,True,11,1,0.356970574047274
63,15,45,l2,15,True,5,1,0.35648818137964305
30,10,30,l1,10,False,15,1,0.35600578871201105
29,10,30,l2,10,False,11,1,0.35407621804148504
117,5,60,l2,20,True,25,2,0.352629040038591
37,10,30,l2,10,True,1,1,0.352629040038591
32,10,30,l1,10,False,25,1,0.352146647370959
99,5,60,l2,20,False,5,2,0.352146647370959
39,10,30,l2,10,True,5,1,0.351664254703328
31,10,30,l2,10,False,15,1,0.351664254703328
69,15,45,l2,15,True,25,1,0.350699469368065
103,5,60,l2,20,False,15,2,0.350699469368065
95,20,60,l2,20,True,45,1,0.350217076700434
104,5,60,l1,20,False,25,2,0.34780511336227604
25,10,30,l2,10,False,1,1,0.34732272069464504
43,10,30,l2,10,True,15,1,0.34684032802701403
101,5,60,l2,20,False,11,2,0.34684032802701403
57,15,45,l2,15,False,25,1,0.345875542691751
118,5,60,l1,20,True,45,2,0.344910757356488
44,10,30,l1,10,True,25,1,0.343945972021225
105,5,60,l2,20,False,25,2,0.343945972021225
83,20,60,l2,20,False,45,1,0.34249879401833
45,10,30,l2,10,True,25,1,0.33912204534491003
119,5,60,l2,20,True,45,2,0.338639652677279
27,10,30,l2,10,False,5,1,0.336710082006753
71,15,45,l2,15,True,45,1,0.331403762662807
34,10,30,l1,10,False,45,1,0.32899179932465
59,15,45,l2,15,False,45,1,0.32802701398938705
33,10,30,l2,10,False,25,1,0.32706222865412404
106,5,60,l1,20,False,45,2,0.32657983598649304
46,10,30,l1,10,True,45,1,0.324650265315967
47,10,30,l2,10,True,45,1,0.315967197298601
107,5,60,l2,20,False,45,2,0.31162566328991803
35,10,30,l2,10,False,45,1,0.307766521948866
12,5,15,l1,5,True,1,1,0.286541244573082
13,5,15,l2,5,True,1,1,0.280752532561505
17,5,15,l2,5,True,11,1,0.27689339122045303
15,5,15,l2,5,True,5,1,0.27592860588519
19,5,15,l2,5,True,15,1,0.274963820549927
14,5,15,l1,5,True,5,1,0.273516642547033
20,5,15,l1,5,True,25,1,0.273516642547033
16,5,15,l1,5,True,11,1,0.27255185721177
21,5,15,l2,5,True,25,1,0.272069464544138
18,5,15,l1,5,True,15,1,0.26917510853835
5,5,15,l2,5,False,11,1,0.26290400385914103
22,5,15,l1,5,True,45,1,0.26290400385914103
23,5,15,l2,5,True,45,1,0.26242161119150903
