,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
327,5,240,l2,80,False,25,4,0.30769230769230704
209,10,30,l2,10,False,1,1,0.305361305361305
13,5,15,l2,5,True,15,1,0.305361305361305
70,5,60,l1,20,False,25,2,0.3006993006993
258,5,60,l1,20,False,5,2,0.29836829836829803
69,5,60,l2,20,False,15,2,0.296037296037296
68,5,60,l1,20,False,15,2,0.291375291375291
262,5,60,l1,20,False,25,2,0.289044289044289
203,5,15,l2,5,True,5,1,0.289044289044289
71,5,60,l2,20,False,25,2,0.286713286713286
321,5,240,l2,80,False,1,4,0.286713286713286
67,5,60,l2,20,False,5,2,0.284382284382284
202,5,15,l1,5,True,5,1,0.28205128205128205
259,5,60,l2,20,False,5,2,0.28205128205128205
260,5,60,l1,20,False,15,2,0.27738927738927704
4,5,15,l1,5,False,15,1,0.27039627039627
10,5,15,l1,5,True,5,1,0.27039627039627
11,5,15,l2,5,True,5,1,0.27039627039627
261,5,60,l2,20,False,15,2,0.27039627039627
263,5,60,l2,20,False,25,2,0.27039627039627
3,5,15,l2,5,False,5,1,0.26340326340326303
201,5,15,l2,5,True,1,1,0.251748251748251
2,5,15,l1,5,False,5,1,0.24941724941724902
195,5,15,l2,5,False,5,1,0.24941724941724902
257,5,60,l2,20,False,1,2,0.24941724941724902
196,5,15,l1,5,False,15,1,0.24941724941724902
6,5,15,l1,5,False,25,1,0.24708624708624702
5,5,15,l2,5,False,15,1,0.24708624708624702
197,5,15,l2,5,False,15,1,0.24708624708624702
198,5,15,l1,5,False,25,1,0.24708624708624702
194,5,15,l1,5,False,5,1,0.24708624708624702
199,5,15,l2,5,False,25,1,0.24242424242424201
200,5,15,l1,5,True,1,1,0.237762237762237
8,5,15,l1,5,True,1,1,0.237762237762237
7,5,15,l2,5,False,25,1,0.237762237762237
9,5,15,l2,5,True,1,1,0.237762237762237
0,5,15,l1,5,False,1,1,0.233100233100233
256,5,60,l1,20,False,1,2,0.23076923076923
1,5,15,l2,5,False,1,1,0.21212121212121202
192,5,15,l1,5,False,1,1,0.2004662004662
193,5,15,l2,5,False,1,1,0.19114219114219103
