,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
217,10,30,l2,10,True,1,1,0.32512315270935904
226,15,45,l1,15,False,5,1,0.32266009852216704
67,5,60,l2,20,False,5,2,0.32266009852216704
237,15,45,l2,15,True,15,1,0.32266009852216704
11,5,15,l2,5,True,5,1,0.32266009852216704
546,15,720,l1,240,False,5,4,0.32266009852216704
254,20,60,l1,20,True,25,1,0.32266009852216704
16,10,30,l1,10,False,1,1,0.32266009852216704
564,20,960,l1,320,False,15,4,0.32019704433497503
271,5,60,l2,20,True,25,2,0.32019704433497503
512,5,240,l1,80,False,1,4,0.32019704433497503
8,5,15,l1,5,True,1,1,0.32019704433497503
19,10,30,l2,10,False,5,1,0.32019704433497503
60,20,60,l1,20,True,15,1,0.32019704433497503
28,10,30,l1,10,True,15,1,0.32019704433497503
295,15,180,l2,60,False,25,2,0.32019704433497503
239,15,45,l2,15,True,25,1,0.32019704433497503
241,20,60,l2,20,False,1,1,0.31773399014778303
23,10,30,l2,10,False,25,1,0.31773399014778303
22,10,30,l1,10,False,25,1,0.31773399014778303
244,20,60,l1,20,False,15,1,0.31773399014778303
17,10,30,l2,10,False,1,1,0.31773399014778303
238,15,45,l1,15,True,25,1,0.31773399014778303
534,10,480,l1,160,False,25,4,0.31773399014778303
21,10,30,l2,10,False,15,1,0.315270935960591
24,10,30,l1,10,True,1,1,0.315270935960591
33,15,45,l2,15,False,1,1,0.315270935960591
568,20,960,l1,320,True,1,4,0.315270935960591
558,15,720,l1,240,True,25,4,0.315270935960591
255,20,60,l2,20,True,25,1,0.315270935960591
10,5,15,l1,5,True,5,1,0.315270935960591
213,10,30,l2,10,False,15,1,0.315270935960591
235,15,45,l2,15,True,5,1,0.315270935960591
29,10,30,l2,10,True,15,1,0.312807881773399
63,20,60,l2,20,True,25,1,0.312807881773399
496,20,240,l1,80,False,1,2,0.312807881773399
31,10,30,l2,10,True,25,1,0.310344827586206
231,15,45,l2,15,False,25,1,0.310344827586206
225,15,45,l2,15,False,1,1,0.310344827586206
9,5,15,l2,5,True,1,1,0.310344827586206
26,10,30,l1,10,True,5,1,0.307881773399014
219,10,30,l2,10,True,5,1,0.307881773399014
542,10,480,l1,160,True,25,4,0.307881773399014
